Customer_ID,Age,Tenure_Months,Monthly_Amount,Contract_Type,Payment_Method,Technical_Support,Internet_Service,Complaints,Satisfaction,Churn
1,22,8,35.0,Monthly,Credit Card,Yes,DSL,0,8,No
2,59,30,41.33,Monthly,Credit Card,No,Fiber,3,5,Yes
3,52,24,57.01,Monthly,Credit Card,Yes,None,0,10,No
4,41,22,61.96,Monthly,Electronic Check,Yes,Fiber,1,6,Yes
5,40,33,64.65,Annual,Electronic Check,Yes,Fiber,1,8,No
6,63,10,72.69,Annual,Electronic Check,Yes,Fiber,1,8,No
7,22,8,66.39,Monthly,Bank Transfer,Yes,Fiber,0,8,No
8,54,29,90.89,Monthly,Bank Transfer,Yes,Fiber,0,8,No
9,28,16,59.83,Annual,Credit Card,Yes,DSL,0,7,No
10,22,7,56.48,Annual,Electronic Check,Yes,DSL,1,8,No
11,45,7,80.62,Annual,Electronic Check,No,Fiber,1,7,No
12,69,39,44.36,Monthly,Electronic Check,Yes,DSL,0,9,Yes
13,56,44,79.01,Two-Year,Electronic Check,Yes,Fiber,2,8,No
14,58,16,73.85,Monthly,Bank Transfer,No,DSL,3,7,Yes
15,56,37,69.35,Monthly,Electronic Check,Yes,Fiber,3,7,Yes
16,59,28,100.59,Monthly,Electronic Check,No,Fiber,1,7,Yes
17,45,22,60.8,Monthly,Credit Card,Yes,DSL,0,7,No
18,24,2,109.09,Monthly,Electronic Check,No,DSL,1,6,Yes
19,62,29,67.94,Monthly,Credit Card,Yes,DSL,1,7,No
20,41,32,49.01,Annual,Electronic Check,Yes,DSL,1,8,No
21,44,28,73.26,Monthly,Electronic Check,Yes,DSL,1,7,No
22,37,34,52.63,Monthly,Credit Card,Yes,Fiber,1,6,No
23,27,24,58.47,Monthly,Bank Transfer,Yes,Fiber,1,6,No
24,67,39,79.15,Monthly,Credit Card,No,Fiber,0,5,No
25,59,46,82.0,Monthly,Electronic Check,No,Fiber,0,7,Yes
26,52,31,60.8,Monthly,Electronic Check,Yes,Fiber,0,6,No
27,39,27,89.77,Monthly,Bank Transfer,No,DSL,0,6,Yes
28,61,29,92.84,Annual,Electronic Check,No,Fiber,2,5,Yes
29,46,24,97.85,Two-Year,Credit Card,No,DSL,2,4,Yes
30,41,14,81.53,Monthly,Credit Card,No,DSL,1,7,No
31,41,30,96.54,Annual,Credit Card,No,DSL,0,8,No
32,30,4,38.15,Two-Year,Credit Card,Yes,DSL,4,5,No
33,22,17,66.28,Two-Year,Bank Transfer,No,Fiber,0,7,No
34,47,22,56.39,Annual,Credit Card,No,Fiber,1,7,No
35,65,44,74.15,Two-Year,Credit Card,Yes,DSL,0,7,No
36,21,16,61.71,Two-Year,Bank Transfer,Yes,DSL,0,7,Yes
37,63,49,69.01,Annual,Electronic Check,Yes,Fiber,1,9,No
38,61,38,105.88,Monthly,Credit Card,No,Fiber,0,8,No
39,32,2,68.95,Monthly,Electronic Check,Yes,DSL,2,8,No
40,51,26,79.45,Monthly,Bank Transfer,No,DSL,0,8,Yes
41,26,2,67.82,Monthly,Credit Card,No,Fiber,1,4,No
42,58,25,73.36,Monthly,Bank Transfer,No,Fiber,1,8,Yes
43,55,42,72.11,Monthly,Credit Card,Yes,DSL,0,9,Yes
44,36,24,80.07,Annual,Credit Card,No,Fiber,1,8,No
45,21,3,92.98,Annual,Bank Transfer,No,DSL,0,8,No
46,69,27,101.65,Two-Year,Credit Card,Yes,Fiber,1,8,No
47,41,21,77.57,Monthly,Credit Card,No,DSL,2,5,No
